key,Model,mtbench,MMLU,Knowledge cutoff date,License,Organization,Link,rating,variance,rating_q975,rating_q025,num_battles,final_ranking,alpacaeval,EQ-Bench,opencompass_academic,opencompass_self_english,mtbench_hard,openllm_new,IFEval,IFEval Raw,BBH,BBH Raw,MATH Lvl 5,MATH Lvl 5 Raw,GPQA,GPQA Raw,MUSR,MUSR Raw,MMLU-PRO,MMLU-PRO Raw,openllm_old,ARC,HellaSwag,MMLU_openllm,TruthfulQA,Winogrande,GSM8K,english_elos
chatgpt-4o-latest,ChatGPT-4o-latest (2024-08-08),-,-,2023/10,Proprietary,OpenAI,https://x.com/OpenAIDevs/status/1823510395619000525,1294.42154,6.665211318,1299.007693,1289.801645,18672,1,,,,,,,,,,,,,,,,,,,,,,,,,,1294.42154
grok-2-2024-08-13,Grok-2-08-13,-,0.875,2024/3,Proprietary,xAI,https://x.ai/blog/grok-2,1274.530669,12.14949995,1281.918034,1269.12867,9275,2,,,,,,,,,,,,,,0.56,,,,,,,,,,,,1274.530669
gemini-1.5-pro-exp-0827,Gemini-1.5-Pro-Exp-0827,-,0.819,2023/11,Proprietary,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro-exp-0827,1268.765063,7.589818987,1274.513808,1264.079538,13851,2,,,,,,,,,,,,,,,,,,,,,,,,,,1268.765063
gemini-1.5-pro-exp-0801,Gemini-1.5-Pro-Exp-0801,-,-,2023/11,Proprietary,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro-exp-0801,1267.125056,7.060256306,1271.889692,1262.290932,14701,2,,,,,,,,,,,,,,,,,,,,,,,,,,1267.125056
gpt-4o-2024-05-13,GPT-4o-2024-05-13,-,0.887,2023/10,Proprietary,OpenAI,https://openai.com/index/hello-gpt-4o/,1262.591813,3.539918323,1266.895224,1259.445227,46269,3,57.5,83.51,77,68.4,79.21,,,,,,,,,0.499,,,,,,,,,,,,1262.591813
llama-3.1-405b-instruct,Meta-Llama-3.1-405b-Instruct,-,0.886,2023/12,Llama 3.1 Community,Meta,https://ai.meta.com/blog/meta-llama-3-1/,1260.495604,7.574884872,1266.016537,1255.675303,15642,3,39.3,83,,,64.09,,,,,,,,,0.507,,,,,,,,,,,,1260.495604
gpt-4o-mini-2024-07-18,GPT-4o-mini-2024-07-18,-,0.82,2023/10,Proprietary,OpenAI,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,1254.065465,6.542121844,1258.771496,1249.456686,14591,6,50.7,76.93,72.5,61.4,74.94,,,,,,,,,0.402,,,,,,,,,,,,1254.065465
grok-2-mini-2024-08-13,Grok-2-Mini-08-13,-,0.862,2024/3,Proprietary,xAI,https://x.ai/blog/grok-2,1252.676573,9.129012541,1258.054719,1247.547139,9513,6,,,,,,,,,,,,,,0.51,,,,,,,,,,,,1252.676573
llama-3.1-70b-instruct,Meta-Llama-3.1-70b-Instruct,-,0.86,2023/12,Llama 3.1 Community,Meta,https://ai.meta.com/blog/meta-llama-3-1/,1248.33967,7.938128113,1254.601576,1244.152028,12672,7,38.1,,,60.9,55.73,41.74,86.69,0.87,55.93,0.69,28.02,0.28,14.21,0.417,17.69,0.46,47.88,0.53,,,,,,,,1248.33967
claude-3-5-sonnet-20240620,Claude 3.5 Sonnet,9.22,0.887,2024/4,Proprietary,Anthropic,https://www.anthropic.com/news/claude-3-5-sonnet,1243.483069,4.57830783,1248.108815,1239.257936,30953,8,,86.36,,70.1,79.35,,,,,,,,,0.594,,,,,,,,,,,,1243.483069
gpt-4o-2024-08-06,GPT-4o-2024-08-06,-,-,2023/10,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-4o,1241.768213,8.159669828,1246.927453,1236.230111,11129,9,,,,,,,,,,,,,,,,,,,,,,,,,,1241.768213
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09,-,-,2023/12,Proprietary,OpenAI,https://platform.openai.com/docs/models/gpt-4-turbo-and-gpt-4,1241.510945,3.301141211,1244.804709,1237.262201,50677,9,55,86.35,,,82.63,,,,,,,,,0.493,,,,,,,,,,,,1241.510945
mistral-large-2407,Mistral-Large-2407,-,-,2024/7,Mistral Research,Mistral,https://mistral.ai/news/mistral-large-2407/,1237.83334,9.058393979,1244.33651,1231.996628,11944,9,,85.17,,64.3,70.42,,,,,,,,,,,,,,,,,,,,,1237.83334
athene-70b-0725,Athene-70b,-,-,2024/7,CC-BY-NC-4.0,NexusFlow,https://huggingface.co/Nexusflow/Athene-70B,1236.622151,7.13334287,1241.882766,1232.124753,9847,10,,,,,76.83,,,,,,,,,,,,,,,,,,,,,1236.622151
gemini-1.5-flash-exp-0827,Gemini-1.5-Flash-Exp-0827,-,0.779,2023/11,Proprietary,Google,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash-exp-0827,1236.559281,6.914571135,1241.247816,1231.559737,9443,10,,,,,,,,,,,,,,0.386,,,,,,,,,,,,1236.559281
gemini-advanced-0514,Gemini Advanced App (2024-05-14),-,-,Online,Proprietary,Google,https://gemini.google.com/advanced,1234.257084,3.997024351,1238.558396,1231.135018,27133,11,,,,,,,,,,,,,,,,,,,,,,,,,,1234.257084
